Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Farinha, de mandioca, crua;360.87;1.55;0.28;87.9;64.87;1.09;0;0;1.02;Liberado;0
Farinha, de mandioca, torrada;365.27;1.23;0.29;89.19;75.53;1.19;0;0;10.31;Liberado;0
Farinha, de mesocarpo de babacu, crua;328.77;1.41;0.2;79.17;60.95;18.33;0;0;12;Liberado;0
Farinha, de milho, amarela;350.59;7.19;1.47;79.08;1.29;2.25;47;0;44.93;Liberado;0
Farinha, de puba;360.18;1.62;0.47;87.29;41.4;1.43;0;0;3.61;Liberado;0
Farinha, de rosca;370.58;11.38;1.46;75.79;35.3;6.73;0.01;0;332.5;Liberado;0
Farinha, de trigo;360.47;9.79;1.37;75.09;17.86;0.95;0;0;0.74;Liberado;0
Farinha, lactea, de cereais;414.85;11.88;5.79;77.77;196.06;8.72;492.25;24.31;125.07;Proibido;3
Farofa pronta;406;2.1;9.1;80.3;66;1.4;0;0;575;Proibido;3
Fava (em grao);85.62;4.8;3.17;10.1;18;1.5;18.83;19.8;41;Liberado;0
Fecula, de mandioca;330.85;0.52;0.28;81.15;11.89;0.11;0;0;2.45;Liberado;0
Feijao (preto, mulatinho, roxo, rosinha, etc.);97.41;5.84;1.79;15.05;55.2;2.22;0;0;5.2;Liberado;0
Feijao, broto, cru;38.72;4.17;0.1;7.76;14.48;0.82;0.08;12;1.79;Liberado;0
Feijao, carioca, cru;329.03;19.98;1.26;61.22;122.57;7.99;0;0;0;Liberado;0
Feijao, fradinho, cru;339.16;20.21;2.37;61.24;77.52;5.13;0;0;10;Liberado;0
Feijao, jalo, cru;327.91;20.1;0.95;61.48;97.97;7.03;0;0;25;Liberado;0
Feijao, preto, cru;323.57;21.34;1.24;58.75;110.9;6.46;0;0;0;Liberado;0
Feijao, rajado, cru;325.84;17.27;1.17;62.93;111.43;18.58;0;0;14;Liberado;0
